ISBN,Titulo,Autor,Peso,Valor,Stock,Genero,Editorial,AnioPublicacion
978-0-307-47495-7,Cien Años de Soledad,Gabriel García Márquez,1.5,50000,5,Ficción,Editorial Sudamericana,1967
978-84-376-0494-7,Don Quijote de la Mancha,Miguel de Cervantes,2.5,75000,3,Clásico,Real Academia Española,1605
978-0-14-017739-8,Crimen y Castigo,Fiódor Dostoyevski,2.2,45000,4,Ficción,Penguin Classics,1866
978-0-06-112008-4,Matar un Ruiseñor,Harper Lee,1.3,38000,6,Ficción,Harper Collins,1960
978-0-452-28423-4,1984,George Orwell,1.1,42000,8,Ciencia Ficción,Signet Classics,1949
978-0-7432-7356-5,El Código Da Vinci,Dan Brown,1.8,35000,10,Thriller,Doubleday,2003
978-0-553-21311-7,Fundación,Isaac Asimov,1.4,40000,5,Ciencia Ficción,Gnome Press,1951
978-84-206-3765-6,Guerra y Paz,León Tolstói,2.8,60000,2,Clásico,Editorial Juventud,1869
978-0-316-76948-0,El Guardián entre el Centeno,J.D. Salinger,1.0,36000,7,Ficción,Little Brown,1951
978-0-679-72326-4,Beloved,Toni Morrison,1.2,41000,4,Ficción,Alfred Knopf,1987
978-0-06-093546-7,La Sombra del Viento,Carlos Ruiz Zafón,1.6,44000,6,Misterio,Planeta,2001
978-0-14-243724-7,La Metamorfosis,Franz Kafka,0.8,28000,9,Ficción,Kurt Wolff Verlag,1915
978-0-06-112241-5,Rayuela,Julio Cortázar,1.7,39000,5,Ficción,Editorial Sudamericana,1963
978-0-525-47535-5,El Amor en los Tiempos del Cólera,Gabriel García Márquez,1.4,48000,4,Romance,Oveja Negra,1985
978-0-14-118776-1,Alicia en el País de las Maravillas,Lewis Carroll,0.9,25000,12,Infantil,Macmillan,1865
978-84-670-0147-4,La Casa de los Espíritus,Isabel Allende,1.5,43000,5,Ficción,Plaza & Janés,1982
978-0-06-088328-7,Crónica de una Muerte Anunciada,Gabriel García Márquez,0.7,32000,8,Ficción,Editorial La Oveja Negra,1981
978-0-7432-4722-1,Angeles y Demonios,Dan Brown,1.9,37000,7,Thriller,Pocket Books,2000
978-0-06-112009-1,El Túnel,Ernesto Sábato,0.6,30000,10,Ficción,Sur,1948
978-0-374-52899-9,Pedro Páramo,Juan Rulfo,0.5,33000,6,Ficción,Fondo de Cultura Económica,1955
978-0-679-76489-8,El Perfume,Patrick Süskind,1.3,40000,5,Ficción,Diogenes Verlag,1985
978-84-204-8276-8,La Ciudad y los Perros,Mario Vargas Llosa,1.6,42000,4,Ficción,Seix Barral,1963
978-0-553-80371-3,Canción de Hielo y Fuego,George R.R. Martin,2.4,55000,3,Fantasía,Bantam Books,1996
978-0-14-017226-3,Los Miserables,Victor Hugo,3.0,65000,2,Clásico,A. Lacroix,1862
978-0-06-085052-4,Fahrenheit 451,Ray Bradbury,1.1,38000,7,Ciencia Ficción,Ballantine Books,1953
978-84-663-2944-8,El Principito,Antoine de Saint-Exupéry,0.4,22000,15,Infantil,Reynal & Hitchcock,1943
978-0-14-303943-3,Orgullo y Prejuicio,Jane Austen,1.4,39000,6,Romance,T. Egerton,1813
978-0-06-025492-6,El Alquimista,Paulo Coelho,1.0,35000,8,Ficción,HarperCollins,1988
978-84-339-7320-4,Ensayo sobre la Ceguera,José Saramago,1.3,41000,5,Ficción,Caminho,1995
978-0-452-26464-9,El Gran Gatsby,F. Scott Fitzgerald,0.9,34000,7,Clásico,Charles Scribner's Sons,1925
